
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
   208             1        8.259442E-03      1.343939E-04       2
   209             1        8.259424E-03      1.338287E-04       2
   210             1        8.259406E-03      1.332674E-04       2
   211             1        8.259389E-03      1.327099E-04       2
   212             1        8.259371E-03      1.321562E-04       2
   213             1        8.259354E-03      1.316063E-04       2
   214             1        8.259337E-03      1.310601E-04       2
   215             1        8.259320E-03      1.305177E-04       2
   216             1        8.259303E-03      1.299789E-04       2
   217             1        8.259286E-03      1.294438E-04       2
   218             1        8.259270E-03      1.289123E-04       2
   219             1        8.259253E-03      1.283843E-04       2
   220             1        8.259237E-03      1.278599E-04       2
   221             1        8.259221E-03      1.273390E-04       2
   222             1        8.259205E-03      1.268216E-04       2
   223             1        8.259189E-03      1.263077E-04       2
   224             1        8.259173E-03      1.257971E-04       2
   225             1        8.259157E-03      1.252900E-04       2
   226             1        8.259142E-03      1.247862E-04       2
   227             1        8.259126E-03      1.242858E-04       2
   228             1        8.259111E-03      1.237886E-04       2
   229             1        8.259096E-03      1.232947E-04       2
   230             1        8.259081E-03      1.228041E-04       2
   231             1        8.259066E-03      1.223167E-04       2
   232             1        8.259051E-03      1.218324E-04       2
   233             1        8.259036E-03      1.213514E-04       2
   234             1        8.258877E-03      4.047042E-04       1
   235             1        8.258864E-03      1.149484E-04       2
   236             1        8.258850E-03      1.145155E-04       2
   237             1        8.258838E-03      1.140852E-04       2
   238             1        8.258825E-03      1.136576E-04       2
   239             1        8.258812E-03      1.132327E-04       2
   240             1        8.258799E-03      1.128104E-04       2
   241             1        8.258787E-03      1.123908E-04       2
   242             1        8.258774E-03      1.119737E-04       2
   243             1        8.258762E-03      1.115591E-04       2
   244             1        8.258749E-03      1.111471E-04       2
   245             1        8.258737E-03      1.107377E-04       2
   246             1        8.258725E-03      1.103307E-04       2
   247             1        8.258713E-03      1.099262E-04       2
   248             1        8.258701E-03      1.095242E-04       2
   249             1        8.258689E-03      1.091246E-04       2
   250             1        8.258677E-03      1.087274E-04       2
   251             1        8.258665E-03      1.083326E-04       2
   252             1        8.258654E-03      1.079403E-04       2
   253             1        8.258642E-03      1.075502E-04       2
   254             1        8.258631E-03      1.071625E-04       2
   255             1        8.258619E-03      1.067772E-04       2
   256             1        8.258608E-03      1.063941E-04       2
   257             1        8.258597E-03      1.060133E-04       2
   258             1        8.258586E-03      1.056348E-04       2
   259             1        8.258575E-03      1.052586E-04       2
   260             1        8.258564E-03      1.048846E-04       2
   261             1        8.258553E-03      1.045127E-04       2
   262             1        8.258542E-03      1.041431E-04       2
   263             1        8.258531E-03      1.037757E-04       2
   264             1        8.258521E-03      1.034104E-04       2
   265             1        8.258510E-03      1.030473E-04       2
   266             1        8.258500E-03      1.026863E-04       2
   267             1        8.258489E-03      1.023274E-04       2
   268             1        8.258479E-03      1.019706E-04       2
   269             1        8.258468E-03      1.016158E-04       2
   270             1        8.258458E-03      1.012632E-04       2
   271             1        8.258448E-03      1.009125E-04       2
   272             1        8.258438E-03      1.005639E-04       2
   273             1        8.258428E-03      1.002173E-04       2
   274             1        8.258418E-03      9.987274E-05       2
 -------------------------------------------------------------------

 Number of outliers:  5
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        7.791941E-03            -            2
     1             1        7.791930E-03      9.953013E-05       2
 -------------------------------------------------------------------

 OVO Algorithm for Mumps

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        2.112819E-02            -            2
     1             2        8.681807E-03      5.322523E-01       2
     2             2        8.171368E-03      7.506449E-02       2
     3             2        7.883742E-03      5.658043E-02       2
     4             1        7.880219E-03      1.855214E-03       3
     5             1        7.876688E-03      1.857776E-03       3
     6             1        7.873149E-03      1.860259E-03       3
     7             1        7.869601E-03      1.862664E-03       3
     8             1        7.866046E-03      1.864991E-03       3
     9             1        7.862484E-03      1.867239E-03       3
    10             1        7.858915E-03      1.869410E-03       3
    11             1        7.855339E-03      1.871502E-03       3
    12             1        7.851756E-03      1.873516E-03       3
    13             1        7.848761E-03      1.690506E-03       4
    14             1        7.845774E-03      1.688637E-03       4
    15             1        7.842795E-03      1.686660E-03       4
    16             1        7.839825E-03      1.684578E-03       4
    17             1        7.836863E-03      1.682395E-03       4
    18             1        7.833911E-03      1.680114E-03       4
    19             1        7.830969E-03      1.677737E-03       4
    20             1        7.828036E-03      1.675268E-03       4
    21             1        7.825113E-03      1.672709E-03       4
    22             1        7.822201E-03      1.670064E-03       4
    23             1        7.819300E-03      1.667336E-03       4
    24             1        7.816409E-03      1.664527E-03       4
    25             1        7.813530E-03      1.661640E-03       4
    26             1        7.811381E-03      4.581800E-04       4
    27             9        7.811381E-03      6.160915E-11       4
 -------------------------------------------------------------------

 Number of outliers:  2
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        7.701950E-03            -            5
     1             8        7.701950E-03      3.618884E-09       5
 -------------------------------------------------------------------

 Number of outliers:  3
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        7.373066E-03            -            5
     1             1        7.373066E-03      5.187733E-15       5
 -------------------------------------------------------------------

 Number of outliers:  4
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        7.345137E-03            -            5
     1             1        7.345137E-03      4.878178E-15       5
 -------------------------------------------------------------------

 Number of outliers:  5
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        7.274272E-03            -            4
     1             1        7.274272E-03      5.006990E-15       4
 -------------------------------------------------------------------

 OVO Algorithm for Rubella

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.995807E-02            -            1
     1             3        1.376119E-02      8.805476E-01       1
     2             3        1.110217E-02      5.533141E-01       1
     3             3        9.416716E-03      4.147557E-01       2
     4             3        8.524517E-03      3.347614E-01       2
     5             1        7.504200E-03      3.968235E-02       3
     6             3        6.685441E-03      2.537429E-01       2
     7             2        6.561271E-03      3.590526E-02       3
     8             2        6.439874E-03      3.564520E-02       3
     9             5        6.439874E-03      3.003344E-11       4
 -------------------------------------------------------------------

 Number of outliers:  2
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        6.412606E-03            -            4
     1             1        6.412606E-03      2.949528E-07       4
 -------------------------------------------------------------------

 Number of outliers:  3
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        6.295899E-03            -            4
     1             2        6.295899E-03      3.156775E-11       4
 -------------------------------------------------------------------

 Number of outliers:  4
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        6.037975E-03            -            5
     1             7        6.037975E-03      2.241240E-10       5
 -------------------------------------------------------------------

 Number of outliers:  5
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        5.670216E-03            -            3
     1             3        5.075376E-03      2.209197E-01       3
     2             1        5.075376E-03      5.193702E-10       6
 -------------------------------------------------------------------
